date,pm25,T2M,RH2M,WS2M,pm25_lag_1,pm25_lag_7,month,smog_season
2022-05-03,158.58333333333334,34.5,18.61,1.8,122.375,93.33333333333333,5,0
2022-05-04,123.5,32.75,26.81,2.59,158.58333333333334,128.5909090909091,5,0
2022-05-05,98.04166666666667,32.25,32.94,1.87,123.5,123.0,5,0
2022-05-06,92.70833333333333,33.48,29.02,1.3,98.04166666666667,124.29166666666667,5,0
2022-05-07,99.875,34.87,22.8,1.9,92.70833333333333,163.08333333333334,5,0
2022-05-08,112.70833333333333,36.1,19.78,0.94,99.875,135.375,5,0
2022-05-09,102.125,35.88,21.28,2.76,112.70833333333333,122.375,5,0
2022-05-10,104.04166666666667,35.4,26.27,1.93,102.125,158.58333333333334,5,0
2022-05-11,146.79166666666666,36.41,22.31,1.8,104.04166666666667,123.5,5,0
2022-05-12,162.33333333333334,37.68,16.07,1.29,146.79166666666666,98.04166666666667,5,0
2022-05-13,145.6966666666667,37.31,13.67,2.25,162.33333333333334,92.70833333333333,5,0
2022-05-14,129.06,37.42,10.45,2.96,145.6966666666667,99.875,5,0
2022-05-15,112.42333333333335,38.43,9.5,2.13,129.06,112.70833333333333,5,0
2022-05-16,95.78666666666668,36.46,13.86,2.28,112.42333333333335,102.125,5,0
2022-05-17,79.15,37.66,17.18,1.02,95.78666666666668,104.04166666666667,5,0
2022-05-18,127.66666666666667,36.62,16.93,1.79,79.15,146.79166666666666,5,0
2022-05-19,91.72727272727273,38.3,14.96,1.47,127.66666666666667,162.33333333333334,5,0
2022-05-20,82.0,37.52,15.0,2.28,91.72727272727273,145.6966666666667,5,0
2022-05-21,89.77272727272727,36.29,20.49,2.65,82.0,129.06,5,0
2022-05-22,89.625,36.32,15.31,1.93,89.77272727272727,112.42333333333335,5,0
2022-05-23,37.75,32.34,27.46,5.09,89.625,95.78666666666668,5,0
2022-05-24,39.458333333333336,26.74,50.98,3.72,37.75,79.15,5,0
2022-05-25,80.72727272727273,30.27,42.55,1.23,39.458333333333336,127.66666666666667,5,0
2022-05-26,78.93181818181819,33.93,30.95,1.26,80.72727272727273,91.72727272727273,5,0
2022-05-28,77.13636363636364,37.52,25.69,1.29,78.93181818181819,82.0,5,0
2022-05-29,75.3409090909091,36.7,28.35,1.81,77.13636363636364,89.77272727272727,5,0
2022-05-30,73.54545454545455,35.77,27.3,3.3,75.3409090909091,89.625,5,0
2022-05-31,71.75,36.26,24.16,1.47,73.54545454545455,37.75,5,0
2022-06-01,81.4090909090909,36.45,20.85,1.67,71.75,39.458333333333336,6,0
2022-06-02,102.08333333333333,36.38,14.95,1.88,81.4090909090909,80.72727272727273,6,0
2022-06-03,134.125,37.17,13.05,1.81,102.08333333333333,78.93181818181819,6,0
2022-06-04,135.2608695652174,38.34,10.31,1.23,134.125,77.13636363636364,6,0
2022-06-05,105.91666666666667,38.1,9.93,1.51,135.2608695652174,75.3409090909091,6,0
2022-06-06,198.25,38.26,11.37,2.4,105.91666666666667,73.54545454545455,6,0
2022-06-07,155.94642857142856,38.84,12.44,2.35,198.25,71.75,6,0
2022-06-08,113.64285714285714,38.65,12.83,3.27,155.94642857142856,81.4090909090909,6,0
2022-06-09,113.45833333333333,38.83,14.51,2.38,113.64285714285714,102.08333333333333,6,0
2022-06-10,93.79166666666667,39.25,16.65,1.99,113.45833333333333,134.125,6,0
2022-06-11,95.83333333333333,39.39,16.23,2.33,93.79166666666667,135.2608695652174,6,0
2022-06-12,84.20833333333333,39.5,19.49,2.25,95.83333333333333,105.91666666666667,6,0
2022-06-13,80.5,39.04,20.33,2.16,84.20833333333333,198.25,6,0
2022-06-14,103.95833333333333,39.19,23.42,2.36,80.5,155.94642857142856,6,0
2022-06-15,52.75,39.89,25.92,3.72,103.95833333333333,113.64285714285714,6,0
2022-06-16,56.875,39.21,24.65,2.63,52.75,113.45833333333333,6,0
2022-06-17,39.25,34.41,42.49,1.13,56.875,93.79166666666667,6,0
2022-06-18,42.166666666666664,31.12,57.09,1.63,39.25,95.83333333333333,6,0
2022-06-19,64.875,31.15,51.09,1.09,42.166666666666664,84.20833333333333,6,0
2022-06-20,81.57142857142857,31.84,47.0,1.12,64.875,80.5,6,0
2022-06-21,53.458333333333336,29.06,54.93,2.48,81.57142857142857,103.95833333333333,6,0
2022-06-22,89.79166666666667,29.62,62.33,1.51,53.458333333333336,52.75,6,0
2022-06-23,56.142857142857146,31.05,45.67,2.51,89.79166666666667,56.875,6,0
2022-06-24,83.77272727272727,32.68,37.09,1.51,56.142857142857146,39.25,6,0
2022-06-25,92.79166666666667,35.0,29.31,1.18,83.77272727272727,42.166666666666664,6,0
2022-06-27,91.17391304347827,36.04,36.17,1.01,92.79166666666667,64.875,6,0
2022-06-28,100.04166666666667,37.34,37.13,1.14,91.17391304347827,81.57142857142857,6,0
2022-06-29,83.375,37.9,36.58,1.52,100.04166666666667,53.458333333333336,6,0
2022-06-30,45.8,36.28,43.32,1.99,83.375,89.79166666666667,6,0
2022-07-01,60.68181818181818,30.23,68.97,2.52,45.8,56.142857142857146,7,0
2022-07-02,46.6,33.13,57.74,0.88,60.68181818181818,83.77272727272727,7,0
2022-07-03,49.02,33.51,57.61,1.97,46.6,92.79166666666667,7,0
2022-07-04,51.440000000000005,32.79,59.94,1.35,49.02,91.17391304347827,7,0
2022-07-05,53.86,35.2,53.76,0.69,51.440000000000005,100.04166666666667,7,0
2022-07-06,56.28,34.59,56.41,1.73,53.86,83.375,7,0
2022-07-07,58.7,34.63,55.2,1.02,56.28,45.8,7,0
2022-07-08,66.58333333333333,35.86,51.07,1.12,58.7,60.68181818181818,7,0
2022-07-09,37.958333333333336,35.74,50.07,0.72,66.58333333333333,46.6,7,0
2022-07-10,47.333333333333336,32.45,63.13,1.52,37.958333333333336,49.02,7,0
2022-07-11,56.041666666666664,33.88,54.14,1.71,47.333333333333336,51.440000000000005,7,0
2022-07-12,52.083333333333336,35.18,48.28,0.88,56.041666666666664,53.86,7,0
2022-07-13,41.125,35.04,53.68,1.85,52.083333333333336,56.28,7,0
